Check out this amazing meme,1
Anyone ready for a party?,1
Can I stay over at yours tonight,1
I feel really sad today. I didn't enjoy going out today,1
Is anyone around to help me fix my computer. Would really appreciate it,1
I don't want to go to work tomorrow,1
Anyone have some food I could have?,1
Oh my god, I'm so excited about tomorrow,1
That is so funny can I see it again?,1
I feel like someone is following me,1
Why do you keep sucking so bad?,0
You are such a loser. I don't know why we are friends,0
Fuck you you stupid shit,0
I have never liked you, get out of my life,0
Go to hell idiot,0
Check out this shit I did,0
I pooped myself this morning,0
I farted on my dog yesterday,0
I fucked your sister,0
Give me all your money or I kill you,0
