I love you mom,1
How was your day dad?,1
The exam went well and I got a good grade,1
The holiday we went together was very nice,1
I miss you a lot and want to see you again,1
I feel a bit sad today and wanted to talk,1
My exam were not so good unfortunately,1
I wanna kill myself,1
I had a good time with friends today,1
How is my brother doing?,1
I fucking hate you!,0
You stupid fucking bitch!,0
I did a huge shit today,0
Sex with my big boobied girlfriend was great mom,0
I farted and shit my pants today,0
I wish you were never born,0
I cheated on the test again like always,0
My alcohol addiction will never end mom you cannot stop me,0
I am thinking of doing cocaine again,0
I love sex with hot midgets mom and scat porn,0

